Date,Frequency
2011-01-01,44.0
2011-02-01,62.0
2011-03-01,67.0
2011-04-01,41.0
2011-05-01,40.0
2011-06-01,51.0
2011-07-01,56.0
2011-08-01,47.0
2011-09-01,48.0
2011-10-01,54.0
2011-11-01,45.0
2011-12-01,45.0
2012-01-01,42.0
2012-02-01,58.0
2012-03-01,41.0
2012-04-01,40.0
2012-05-01,40.0
2012-06-01,59.0
2012-07-01,41.0
2012-08-01,57.0
2012-09-01,48.0
2012-10-01,59.0
2012-11-01,45.0
2012-12-01,58.0
2013-01-01,50.0
2013-02-01,39.0
2013-03-01,62.0
2013-04-01,45.0
2013-05-01,58.0
2013-06-01,44.0
2013-07-01,43.0
2013-08-01,49.0
2013-09-01,41.0
2013-10-01,46.0
2013-11-01,41.0
2013-12-01,46.0
